Model,Team,Condition,Provider,Metric,mean,ci
Llama 4 Scout + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Meta + Anthropic,pct_cumulative,0.113,0.007
Llama 4 Scout + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Meta + DeepSeek,pct_cumulative,0.108,0.01
Llama 4 Scout + GPT-4.1,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,pct_cumulative,0.25,0.02
Llama 4 Scout + GPT-5,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,pct_cumulative,0.123,0.007
Llama 4 Scout + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,pct_cumulative,0.13,0
Llama 4 Scout + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Meta + Google,pct_cumulative,0.11,0
Llama 4 Scout + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Meta + Google,pct_cumulative,0.078,0.014
Llama 4 Scout + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Meta + Meta,pct_cumulative,0.135,0.006
Llama 4 Scout + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Meta + Meta,pct_cumulative,0.162,0.008
Llama 4 Scout + o3 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,pct_cumulative,0.103,0.013
o3 mini + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,pct_cumulative,0.1,0.008
o3 mini + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,pct_cumulative,0.153,0.017
o3 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,pct_cumulative,0.357,0.024
o3 mini + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,pct_cumulative,0.147,0.007
o3 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,pct_cumulative,0.173,0.007
o3 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,pct_cumulative,0.163,0.013
o3 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,pct_cumulative,0.12,0.011
o3 mini + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,pct_cumulative,0.23,0.011
o3 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,pct_cumulative,0.223,0.013
o3 mini + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,pct_cumulative,0.237,0.007
DeepSeek R1 + DeepSeek R1 + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + DeepSeek + DeepSeek,pct_cumulative,0.115,0.008
DeepSeek R1 + DeepSeek R1 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + DeepSeek + OpenAI,pct_cumulative,0.107,0.012
DeepSeek R1 + Gemini 2.0 Flash + Claude 3.7 Sonnet,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Anthropic,pct_cumulative,0.088,0.013
DeepSeek R1 + Gemini 2.0 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Google,pct_cumulative,0.093,0.021
DeepSeek R1 + Gemini 2.0 Flash + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + AMBOSS,pct_cumulative,0.071,0.008
DeepSeek R1 + Gemini 2.5 Flash + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + OpenAI,pct_cumulative,0.095,0.02
DeepSeek R1 + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Google,pct_cumulative,0.093,0.021
DeepSeek R1 + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + OpenAI,pct_cumulative,0.084,0.008
GPT-5 + GPT-5 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + OpenAI + OpenAI,pct_cumulative,0.127,0.014
Gemini 2.0 Flash + Claude 3.7 Sonnet + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Anthropic + Google,pct_cumulative,0.095,0.026
Gemini 2.0 Flash + Claude 3.7 Sonnet + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Google + Anthropic + AMBOSS,pct_cumulative,0.078,0.006
Gemini 2.0 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,pct_cumulative,0.083,0.007
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Flash,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,pct_cumulative,0.086,0.018
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,pct_cumulative,0.115,0.021
Gemini 2.5 Flash + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + DeepSeek,pct_cumulative,0.092,0.017
Gemini 2.5 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,pct_cumulative,0.08,0.016
Gemini 2.5 Flash + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,pct_cumulative,0.097,0.012
Gemini 2.5 Flash + Llama 4 Maverick + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + DeepSeek,pct_cumulative,0.083,0.028
Gemini 2.5 Flash + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + OpenAI,pct_cumulative,0.086,0.012
Gemini 2.5 Flash + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + Google,pct_cumulative,0.093,0.017
Gemini 2.5 Pro + GPT-5 mini + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + OpenAI + OpenAI,pct_cumulative,0.097,0.013
Gemini 2.5 Pro + GPT-5 mini + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Google + OpenAI + AMBOSS,pct_cumulative,0.083,0.012
Gemini 2.5 Pro + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,pct_cumulative,0.103,0.014
Gemini 2.5 Pro + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,pct_cumulative,0.118,0.009
Llama 4 Maverick + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + OpenAI,pct_cumulative,0.09,0.02
Llama 4 Maverick + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,pct_cumulative,0.102,0.01
Llama 4 Scout + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + DeepSeek,pct_cumulative,0.069,0.01
Llama 4 Scout + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + OpenAI,pct_cumulative,0.066,0.011
Llama 4 Scout + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + Google,pct_cumulative,0.069,0.011
Llama 4 Scout + Gemini 2.5 Pro + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + AMBOSS,pct_cumulative,0.047,0.01
Llama 4 Scout + Gemini 2.5 Pro + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + Meta,pct_cumulative,0.065,0.019
Llama 4 Scout + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + OpenAI,pct_cumulative,0.118,0.014
Llama 4 Scout + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Google,pct_cumulative,0.082,0.018
Llama 4 Scout + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,pct_cumulative,0.134,0.01
Llama 4 Scout + Llama 4 Maverick + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,pct_cumulative,0.134,0.01
Llama 4 Scout + Llama 4 Scout + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + DeepSeek,pct_cumulative,0.104,0.01
Llama 4 Scout + Llama 4 Scout + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + OpenAI,pct_cumulative,0.12,0.019
Llama 4 Scout + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Google,pct_cumulative,0.083,0.017
Llama 4 Scout + Llama 4 Scout + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,pct_cumulative,0.154,0.01
Llama 4 Scout + Llama 4 Scout + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,pct_cumulative,0.155,0.013
Claude 3.7 Sonnet,Solo Models,Advisor,Anthropic,pct_cumulative,0.12,0.005
Claude Haiku 4.5,Solo Models,Advisor,Anthropic,pct_cumulative,0.136,0.007
Claude Sonnet 4.5,Solo Models,Advisor,Anthropic,pct_cumulative,0.104,0.009
DeepSeek R1,Solo Models,Advisor,DeepSeek,pct_cumulative,0.098,0.008
DeepSeek V3.1,Solo Models,Advisor,DeepSeek,pct_cumulative,0.106,0.008
GPT-4.1,Solo Models,Advisor,OpenAI,pct_cumulative,0.13,0.006
GPT-4.1 mini,Solo Models,Advisor,OpenAI,pct_cumulative,0.178,0.006
GPT-4o,Solo Models,Advisor,OpenAI,pct_cumulative,0.153,0.011
GPT-4o mini,Solo Models,Advisor,OpenAI,pct_cumulative,0.201,0.014
GPT-5,Solo Models,Advisor,OpenAI,pct_cumulative,0.128,0.008
GPT-5 mini,Solo Models,Advisor,OpenAI,pct_cumulative,0.141,0.009
GPT-5 nano,Solo Models,Advisor,OpenAI,pct_cumulative,0.161,0.013
Gemini 2.0 Flash,Solo Models,Advisor,Google,pct_cumulative,0.111,0.008
Gemini 2.5 Flash,Solo Models,Advisor,Google,pct_cumulative,0.092,0.009
Gemini 2.5 Pro,Solo Models,Advisor,Google,pct_cumulative,0.102,0.009
Gemini 3 Pro,Solo Models,Advisor,Google,pct_cumulative,0.133,0.007
Glass Health 4.0,Solo Models,Advisor,Glass Health,pct_cumulative,0.121,0.008
Grok 4,Solo Models,Advisor,xAI,pct_cumulative,0.141,0.011
Grok 4 Fast,Solo Models,Advisor,xAI,pct_cumulative,0.113,0.012
Kimi K2,Solo Models,Advisor,Moonshot AI,pct_cumulative,0.118,0.008
AMBOSS LiSA 1.0,Solo Models,Advisor,AMBOSS,pct_cumulative,0.096,0.007
Llama 3.3 70b,Solo Models,Advisor,Meta,pct_cumulative,0.122,0.008
Llama 4 Maverick,Solo Models,Advisor,Meta,pct_cumulative,0.098,0.006
Llama 4 Scout,Solo Models,Advisor,Meta,pct_cumulative,0.158,0.004
Mistral Large 2.1,Solo Models,Advisor,Mistral AI,pct_cumulative,0.143,0.01
Mistral Medium 3.1,Solo Models,Advisor,Mistral AI,pct_cumulative,0.164,0.01
Qwen3 235B,Solo Models,Advisor,Alibaba,pct_cumulative,0.155,0.013
Qwen3 32B,Solo Models,Advisor,Alibaba,pct_cumulative,0.175,0.012
o1,Solo Models,Advisor,OpenAI,pct_cumulative,0.18,0.011
o1 mini,Solo Models,Advisor,OpenAI,pct_cumulative,0.166,0.014
o3 mini,Solo Models,Advisor,OpenAI,pct_cumulative,0.222,0.006
o4 mini,Solo Models,Advisor,OpenAI,pct_cumulative,0.209,0.021
Human Generalist Physicians,Solo Models,Human,Human,Completeness,0.333,0.025
Human Generalist Physicians,Solo Models,Human,Human,Escalation,0.545,0.136
Human Generalist Physicians,Solo Models,Human,Human,F1,0.551,0.03
Human Generalist Physicians,Solo Models,Human,Human,OverallScore,0.46,0.005
Human Generalist Physicians,Solo Models,Human,Human,Precision,0.492,0.059
Human Generalist Physicians,Solo Models,Human,Human,Recall,0.629,0.019
Human Generalist Physicians,Solo Models,Human,Human,Restraint,0.559,0.062
Human Generalist Physicians,Solo Models,Human,Human,Safety,0.586,0.016
Human Generalist Physicians,Solo Models,Human,Human,nnh_cumulative,6.167,1.424
Human Generalist Physicians,Solo Models,Human,Human,normalized,33.333,7.544
Human Generalist Physicians,Solo Models,Human,Human,pct_cumulative,0.167,0.038
Claude 3.7 Sonnet,Solo Models,Advisor,Anthropic,Runtime,62.516,1.993
Claude 3.7 Sonnet + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Anthropic + Anthropic,Runtime,115.97,4.194
Claude 3.7 Sonnet + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Anthropic + DeepSeek,Runtime,150.11,5.59
Claude 3.7 Sonnet + GPT-4.1,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Runtime,78.058,2.583
Claude 3.7 Sonnet + GPT-5,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Runtime,161.371,5.044
Claude 3.7 Sonnet + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Runtime,122.695,3.428
Claude 3.7 Sonnet + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Runtime,73.355,2.621
Claude 3.7 Sonnet + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Runtime,142.958,2.915
Claude 3.7 Sonnet + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Anthropic + Google + OpenAI,Runtime,225.74,5.002
Claude 3.7 Sonnet + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,Runtime,77.181,2.666
Claude 3.7 Sonnet + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,Runtime,84.859,2.964
Claude 3.7 Sonnet + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Anthropic + Meta + Google,Runtime,165.869,4.133
Claude 3.7 Sonnet + o3 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Runtime,93.705,2.773
Claude Haiku 4.5,Solo Models,Advisor,Anthropic,Runtime,28.477,0.45
Claude Sonnet 4.5,Solo Models,Advisor,Anthropic,Runtime,52.02,1.421
Claude Sonnet 4.5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Runtime,170.678,3.968
Claude Sonnet 4.5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Anthropic + AMBOSS,Runtime,116.461,2.503
DeepSeek R1,Solo Models,Advisor,DeepSeek,Runtime,81.615,1.169
DeepSeek R1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,DeepSeek + Anthropic,Runtime,135.939,3.96
DeepSeek R1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,DeepSeek + DeepSeek,Runtime,163.641,4.122
DeepSeek R1 + DeepSeek R1 + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + DeepSeek + DeepSeek,Runtime,212.295,5.646
DeepSeek R1 + DeepSeek R1 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + DeepSeek + OpenAI,Runtime,231.908,5.843
DeepSeek R1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Runtime,109.808,5.074
DeepSeek R1 + GPT-5,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Runtime,195.841,6.874
DeepSeek R1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Runtime,162.666,5.099
DeepSeek R1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Runtime,112.424,3.447
DeepSeek R1 + Gemini 2.0 Flash + Claude 3.7 Sonnet,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Anthropic,Runtime,154.679,3.666
DeepSeek R1 + Gemini 2.0 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Google,Runtime,183.728,4.488
DeepSeek R1 + Gemini 2.0 Flash + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + AMBOSS,Runtime,162.221,3.627
DeepSeek R1 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Runtime,145.062,3.407
DeepSeek R1 + Gemini 2.5 Flash + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + OpenAI,Runtime,211.683,5.023
DeepSeek R1 + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Google,Runtime,221.04,4.675
DeepSeek R1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Runtime,182.48,3.443
DeepSeek R1 + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + OpenAI,Runtime,245.384,5.358
DeepSeek R1 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,DeepSeek + AMBOSS,Runtime,140.472,3.378
DeepSeek R1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,DeepSeek + Meta,Runtime,112.284,3.279
DeepSeek R1 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,DeepSeek + Meta,Runtime,115.821,4.854
DeepSeek R1 + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Meta + Google,Runtime,195.417,6.177
DeepSeek R1 + o3 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Runtime,130.064,3.33
DeepSeek V3.1,Solo Models,Advisor,DeepSeek,Runtime,30.446,0.609
GPT-4.1,Solo Models,Advisor,OpenAI,Runtime,13.217,0.101
GPT-4.1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,Runtime,69.434,3.092
GPT-4.1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,Runtime,102.3,5.019
GPT-4.1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Runtime,31.085,0.52
GPT-4.1 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Runtime,120.15,4.805
GPT-4.1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Runtime,76.648,2.195
GPT-4.1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Runtime,28.071,0.374
GPT-4.1 + Gemini 2.0 Flash + Claude 3.7 Sonnet,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + Google + Anthropic,Runtime,82.262,3.743
GPT-4.1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Runtime,99.267,1.299
GPT-4.1 + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + Google + OpenAI,Runtime,178.031,3.66
GPT-4.1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Runtime,31.438,0.488
GPT-4.1 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Runtime,38.471,1.441
GPT-4.1 + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + Meta + Google,Runtime,114.786,2.219
GPT-4.1 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Runtime,49.474,0.784
GPT-4.1 mini,Solo Models,Advisor,OpenAI,Runtime,41.688,1.365
GPT-4o,Solo Models,Advisor,OpenAI,Runtime,22.031,0.411
GPT-4o mini,Solo Models,Advisor,OpenAI,Runtime,16.981,0.285
GPT-5,Solo Models,Advisor,OpenAI,Runtime,75.236,1.445
GPT-5 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,Runtime,145.511,4.351
GPT-5 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,Runtime,177.368,6.495
GPT-5 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Runtime,109.266,3.375
GPT-5 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Runtime,174.885,4.317
GPT-5 + GPT-5 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + OpenAI + OpenAI,Runtime,233.233,5.215
GPT-5 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Runtime,153.537,3.735
GPT-5 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Runtime,106.431,3.294
GPT-5 + Gemini 2.0 Flash + Claude 3.7 Sonnet,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + Google + Anthropic,Runtime,150.872,4.85
GPT-5 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Runtime,139.303,4.358
GPT-5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Runtime,173.411,3.526
GPT-5 + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + Google + OpenAI,Runtime,241.583,5.454
GPT-5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,OpenAI + AMBOSS,Runtime,138.79,2.475
GPT-5 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Runtime,109.694,3.299
GPT-5 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Runtime,116.871,3.814
GPT-5 + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + Meta + Google,Runtime,183.745,4.66
GPT-5 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Runtime,124.963,3.454
GPT-5 mini,Solo Models,Advisor,OpenAI,Runtime,64.216,1.044
GPT-5 mini + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,Runtime,127.462,4.789
GPT-5 mini + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,Runtime,141.887,5.593
GPT-5 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Runtime,72.794,1.767
GPT-5 mini + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Runtime,165.47,5.52
GPT-5 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Runtime,115.81,2.816
GPT-5 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Runtime,70.972,1.963
GPT-5 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Runtime,138.613,2.244
GPT-5 mini + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + Google + OpenAI,Runtime,212.173,4.295
GPT-5 mini + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Runtime,75.718,2.014
GPT-5 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Runtime,83.961,2.603
GPT-5 mini + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + Meta + Google,Runtime,155.754,3.408
GPT-5 mini + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Runtime,87.828,2.089
GPT-5 nano,Solo Models,Advisor,OpenAI,Runtime,43.758,0.894
Gemini 2.0 Flash,Solo Models,Advisor,Google,Runtime,15.999,0.18
Gemini 2.0 Flash + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Google + Anthropic,Runtime,84.673,2.751
Gemini 2.0 Flash + Claude 3.7 Sonnet + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Anthropic + OpenAI,Runtime,175,6.422
Gemini 2.0 Flash + Claude 3.7 Sonnet + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Anthropic + Google,Runtime,165.912,4.645
Gemini 2.0 Flash + Claude 3.7 Sonnet + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Google + Anthropic + AMBOSS,Runtime,135.355,2.964
Gemini 2.0 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,Runtime,102.837,5.21
Gemini 2.0 Flash + GPT-4.1,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Runtime,33.758,0.58
Gemini 2.0 Flash + GPT-5,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Runtime,118.552,4.424
Gemini 2.0 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Runtime,78.616,2.439
Gemini 2.0 Flash + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,Runtime,30.42,0.458
Gemini 2.0 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,Runtime,102.026,1.43
Gemini 2.0 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,Runtime,176.972,3.019
Gemini 2.0 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,Runtime,34.228,0.478
Gemini 2.0 Flash + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Google + Meta,Runtime,40.348,0.982
Gemini 2.0 Flash + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + Google,Runtime,123.429,2.223
Gemini 2.0 Flash + o3 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Runtime,52.735,0.769
Gemini 2.5 Flash,Solo Models,Advisor,Google,Runtime,48.326,0.642
Gemini 2.5 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,Runtime,119.39,3.171
Gemini 2.5 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Runtime,134.413,2.561
Gemini 2.5 Flash + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,Runtime,125.624,1.476
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Flash,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Runtime,176.966,4.796
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Runtime,193.598,2.341
Gemini 2.5 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,Runtime,139.192,1.467
Gemini 2.5 Flash + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + DeepSeek,Runtime,180.858,2.545
Gemini 2.5 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,Runtime,198.144,2.32
Gemini 2.5 Flash + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Runtime,196.918,2.084
